route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-56,20250425,20250425-56-56311,56 - DC Oshawa GO,,0,MDDS9119,388896,1,1,56
04250625-56,20250425,20250425-56-56120,56 - Oakville GO,,1,MDDS9119,388893,1,1,56
04250625-41,20250425,20250425-41-41350,41 - Pickering GO,,0,MDDS9118,388869,1,1,41
04250625-41,20250425,20250425-41-41141,41 - Hamilton GO,,1,MDDS9118,388871,1,1,41
04250625-56,20250425,20250425-56-56291,56 - DC Oshawa GO,,0,MDDS9117,388896,1,1,56
04250625-56,20250425,20250425-56-56100,56 - Oakville GO,,1,MDDS9117,388893,1,1,56
04250625-41,20250425,20250425-41-41330,41 - Pickering GO,,0,MDDS9116,388869,1,1,41
04250625-41,20250425,20250425-41-41111,41 - Hamilton GO,,1,MDDS9116,388871,1,1,41
04250625-56,20250425,20250425-56-56271,56 - DC Oshawa GO,,0,MDDS9115,388896,1,1,56
04250625-56,20250425,20250425-56-56060,56 - Oakville GO,,1,MDDS9115,388893,1,1,56
04250625-41,20250425,20250425-41-41310,41 - Pickering GO,,0,MDDS9114,388869,1,1,41
04250625-41,20250425,20250425-41-41091,41 - Hamilton GO,,1,MDDS9114,388871,1,1,41
04250625-88,20250425,20250425-88-88421,88 - DC Oshawa GO,,1,MDDS9113,389491,1,1,88
04250625-88,20250425,20250425-88-88430,88 - Trent U,,0,MDDS9113,389487,1,1,88
04250625-88,20250425,20250425-88-88171,88B - DC Oshawa GO,,1,MDDS9113,389492,1,1,88B
04250625-88,20250425,20250425-88-88070,88 - Trent U,,0,MDDS9113,389487,1,1,88
04250625-56,20250425,20250425-56-56571,56 - DC Oshawa GO,,0,MDDS9112,388896,1,1,56
04250625-56,20250425,20250425-56-56390,56 - Oakville GO,,1,MDDS9112,388893,1,1,56
04250625-56,20250425,20250425-56-56251,56 - DC Oshawa GO,,0,MDDS9112,388896,1,1,56
04250625-56,20250425,20250425-56-56050,56 - Oakville GO,,1,MDDS9112,388893,1,1,56
04250625-41,20250425,20250425-41-41144,41C - Centennial College,,0,MDDS9111,388873,1,1,41C
